BookId,Added,Author,AuthorId,AvgRating,Binding,Borrowed,Category,Entry,Language,Pages,Published,Rating,Read,Scheduled,Series,SeriesId,Shelf,Started,Title,Work
17735116,2016-04-18,Kurt Vonnegut,2778055,4.16,Paperback,False,novels,,en,224,1959,0,,2020-01-01,,,pending,,The Sirens of Titan,905970
18109791,2016-07-05,Ursula K. Le Guin,874602,4.21,Paperback,False,novels,6,en,319,1974,4,2017-12-28,,Hainish Cycle,49359,read,2017-12-23,The Dispossessed,2684122
18131144,2016-01-18,Terry Pratchett,1654,4.33,Paperback,False,novels,8,en,412,1989,5,2017-04-07,,Discworld,40650,read,2017-04-02,Guards! Guards!,1128601
18231105,2016-04-18,Iain Banks,7628,3.51,Paperback,False,novels,,en,448,2002,0,,,,,pending,,Dead Air,919765
18363319,2018-02-26,Émile Zola,4750,3.16,Mass Market Paperback,True,novels,,fr,312,1865,0,,,,,library,,La Confession de Claude,13840022
18591321,2017-09-26,Ann Leckie,3365457,3.98,Paperback,False,novels,1,en,386,2013,0,,,Imperial Radch,113751,pending,,Ancillary Justice,24064628
20493713,2016-10-07,Terry Pratchett,1654,4.25,Hardcover,False,novels,,en,424,1990,0,,,,,pending,,Good Omens,4110990
20555440,2017-05-04,Terry Pratchett,1654,3.97,Paperback,False,novels,40,en,480,2013,0,,,Discworld,40650,pending,,Raising Steam,16202400
20618571,2016-04-20,Alexandre Dumas,4785,3.8,Paperback,True,novels,,fr,316,1850,0,,2020-01-01,,,pending,,La Tulipe Noire,2024166
20636970,2017-02-07,Émile Zola,4750,3.84,Paperback,False,novels,2,fr,380,1886,3,2018-03-14,,Les Rougon-Macquart,40441,read,2017-12-28,La Curée,839934
21044813,2017-09-07,Iain Banks,7628,3.6,,False,novels,,en,374,2013,0,,,,,pending,,The Quarry,25093214
21091693,2016-10-31,Ann Leckie,3365457,4.06,,False,novels,2,en,356,2014,0,,,Imperial Radch,113751,pending,,Ancillary Sword,40026175
23533039,2016-10-31,Ann Leckie,3365457,4.21,Paperback,False,novels,3,en,330,2015,0,,,Imperial Radch,113751,pending,,Ancillary Mercy,43134689
23653503,2019-04-22,Fabien Vehlmann,761380,3.45,Board book,True,graphic,54,fr,48,2014,0,,,Spirou et Fantasio,63180,elsewhere,,Le groom de Sniper Alley,43260822
25965499,2016-01-19,Iain M. Banks,5807106,4.47,ebook,False,non-fiction,,en,17,1994,4,2018-12-31,,,,read,2018-12-31,A Few Notes on the Culture,45871652
26570162,2017-07-27,Matthew Lewis,7798465,3.8,Paperback,False,novels,,en,339,1796,0,,,,,pending,,The Monk,3095060
27281602,2019-09-25,Alexandre Dumas,4785,3.53,Paperback,False,novels,,fr,400,1843,0,,,,,to-read,,Le Château d'Eppstein,189388
28595808,2018-02-06,Brian Davies,91422,4.83,Paperback,False,non-fiction,,,384,,0,,,,,to-read,,The McCabe Reader,48765728
29418262,2019-04-22,Fabien Vehlmann,761380,3.3,Hardcover,True,graphic,55,fr,64,2016,0,,,Spirou et Fantasio,63180,elsewhere,,La colère du Marsupilami,47869357
31226479,2016-05-13,Terry Pratchett,1654,4.12,Mass Market Paperback,False,novels,6,en,252,1988,5,2016-11-14,,Discworld,40650,read,2016-11-03,Wyrd Sisters,1494222
32828220,2018-03-12,Paul Kincaid,550793,3.77,Paperback,False,non-fiction,,,200,,0,,,,,to-read,,Modern Masters of Science Fiction: Iain M. Banks,53429417
35476010,2018-12-25,Ursula K. Le Guin,874602,4.11,Paperback,True,short-stories,,en,560,,0,,,,,elsewhere,,Orsinia,48207822
35679776,2018-01-04,Eileen Horne,14705416,3.88,Paperback,False,non-fiction,,en,320,,0,,,,,pending,,Zola and the Victorians: Censorship in the Age of Hypocrisy,47972209
39073893,2018-03-07,Alexandre Dumas,4785,4.2,Paperback,False,novels,,fr,991,1847,0,,,,,pending,,La Dame de Monsoreau,2369834
