BookId,Author,AuthorId,Title,Work,Shelf,Category,Scheduled,Borrowed,Series,SeriesId,Entry,Binding,Published,Language,Pages,Added,Started,Read,Rating,AvgRating
20618571,Alexandre Dumas,4785,La Tulipe Noire,2024166,pending,novels,2020-01-01,True,,,,Paperback,1850,fr,316,2016-04-20,,,0,3.7999999999999998224
20636970,Émile Zola,4750,La Curée,839934,read,novels,,False,Les Rougon-Macquart,40441,2,Paperback,1886,fr,380,2017-02-07,2017-12-28,2018-03-14,3,3.8399999999999998579
21044813,Iain Banks,7628,The Quarry,25093214,pending,novels,,False,,,,,2013,en,374,2017-09-07,,,0,3.6000000000000000888
21091693,Ann Leckie,3365457,Ancillary Sword,40026175,pending,novels,,False,Imperial Radch,113751,2,,2014,en,356,2016-10-31,,,0,4.0599999999999996092
23533039,Ann Leckie,3365457,Ancillary Mercy,43134689,pending,novels,,False,Imperial Radch,113751,3,Paperback,2015,en,330,2016-10-31,,,0,4.2099999999999999645
23653503,Fabien Vehlmann,761380,Le groom de Sniper Alley,43260822,elsewhere,graphic,,True,Spirou et Fantasio,63180,54,Board book,2014,fr,48,2019-04-22,,,0,3.4500000000000001776
25965499,Iain M. Banks,5807106,A Few Notes on the Culture,45871652,read,non-fiction,,False,,,,ebook,1994,en,17,2016-01-19,2018-12-31,2018-12-31,4,4.4699999999999997513
26570162,Matthew Lewis,7798465,The Monk,3095060,pending,novels,,False,,,,Paperback,1796,en,339,2017-07-27,,,0,3.7999999999999998224
27281602,Alexandre Dumas,4785,Le Château d'Eppstein,189388,to-read,novels,,False,,,,Paperback,1843,fr,400,2019-09-25,,,0,3.5299999999999998046
28595808,Brian Davies,91422,The McCabe Reader,48765728,to-read,non-fiction,,False,,,,Paperback,,,384,2018-02-06,,,0,4.8300000000000000711
29418262,Fabien Vehlmann,761380,La colère du Marsupilami,47869357,elsewhere,graphic,,True,Spirou et Fantasio,63180,55,Hardcover,2016,fr,64,2019-04-22,,,0,3.2999999999999998224
31226479,Terry Pratchett,1654,Wyrd Sisters,1494222,read,novels,,False,Discworld,40650,6,Mass Market Paperback,1988,en,252,2016-05-13,2016-11-03,2016-11-14,5,4.1200000000000001066
32828220,Paul Kincaid,550793,Modern Masters of Science Fiction: Iain M. Banks,53429417,to-read,non-fiction,,False,,,,Paperback,,,200,2018-03-12,,,0,3.7700000000000000178
35476010,Ursula K. Le Guin,874602,Orsinia,48207822,elsewhere,short-stories,,True,,,,Paperback,,en,560,2018-12-25,,,0,4.1100000000000003197
39073893,Alexandre Dumas,4785,La Dame de Monsoreau,2369834,pending,novels,,False,,,,Paperback,1847,fr,991,2018-03-07,,,0,4.2000000000000001776
